source,call_id,created_at,duration_mins,to,from,status,link,recording_url,summary
ElevenLabs,conv_8401kj8tjsfce0s8c3yd1a87tcz7,1771970323,120,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_8401kj8tjsfce0s8c3yd1a87tcz7,,UI - Athena
ElevenLabs,conv_7501kj8r9rbpe2bseq5e4xzz03fv,1771967930,120,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_7501kj8r9rbpe2bseq5e4xzz03fv,,UI - Athena
ElevenLabs,conv_3401kj8rn5ztfzvr13afav24nfq1,1771968305,88,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_3401kj8rn5ztfzvr13afav24nfq1,,UI - Athena
ElevenLabs,conv_6201kj8tstcweaybkybrvybfvrf6,1771970554,86,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_6201kj8tstcweaybkybrvybfvrf6,,UI - Athena
ElevenLabs,conv_3901kj8w6q79eq8bqjqb2qhy4v9s,1771972025,76,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_3901kj8w6q79eq8bqjqb2qhy4v9s,,UI - Athena
ElevenLabs,conv_1201kj8xvtjsfn5syg8bbwsrfxge,1771973765,54,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_1201kj8xvtjsfn5syg8bbwsrfxge,,UI - Athena
ElevenLabs,conv_1601kj8ry4gcfa19ad96640yj6vs,1771968598,53,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_1601kj8ry4gcfa19ad96640yj6vs,,UI - Athena
ElevenLabs,conv_1601kj8wek8hf9mbdwr4dekgep2a,1771972283,50,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_1601kj8wek8hf9mbdwr4dekgep2a,,Bella HOI - Athena
ElevenLabs,conv_3701kj8xfss5f20a2dz6rfsw1mt8,1771973373,44,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_3701kj8xfss5f20a2dz6rfsw1mt8,,UI - Athena
ElevenLabs,conv_6801kj8sy650f3ea20x31k4t6b5n,1771969648,41,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_6801kj8sy650f3ea20x31k4t6b5n,,UI - Athena
ElevenLabs,conv_2101kj8qj9tnecksq741jdt6wydk,1771967162,40,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_2101kj8qj9tnecksq741jdt6wydk,,UI - Athena
ElevenLabs,conv_3801kj8qx75pfbbvb78q70mxyfhj,1771967519,27,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_3801kj8qx75pfbbvb78q70mxyfhj,,UI - Athena
ElevenLabs,conv_6101kj8trz8ge7grffghvck5zjmy,1771970526,26,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_6101kj8trz8ge7grffghvck5zjmy,,UI - Athena
ElevenLabs,conv_1901kj8ryn15fsnaq5943dk4g70z,1771968617,25,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_1901kj8ryn15fsnaq5943dk4g70z,,UI - Athena
ElevenLabs,conv_3701kj8swhprfyvthp6c2y812yk7,1771969597,23,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_3701kj8swhprfyvthp6c2y812yk7,,UI - Athena
ElevenLabs,conv_6801kj8vcvjmenh8w8debzyj37hv,1771971179,21,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_6801kj8vcvjmenh8w8debzyj37hv,,UI - Athena
ElevenLabs,conv_4601kj8raff7fxmtvx63g67e8076,1771967954,21,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_4601kj8raff7fxmtvx63g67e8076,,UI - Athena
ElevenLabs,conv_5501kj8tndxqf4m98dybwaszxz5y,1771970411,20,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_5501kj8tndxqf4m98dybwaszxz5y,,UI - Athena
ElevenLabs,conv_0901kj8zryj0fy7sjje4tk0y1p7q,1771975768,19,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_0901kj8zryj0fy7sjje4tk0y1p7q,,UI - Athena
ElevenLabs,conv_8401kj8v70khep18kwbhchrcew99,1771970987,19,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_8401kj8v70khep18kwbhchrcew99,,UI - Athena
ElevenLabs,conv_5201kj8txse6evzb5j651vxhv0w9,1771970684,18,,,failed,https://elevenlabs.io/app/conversational-ai/history/conv_5201kj8txse6evzb5j651vxhv0w9,,UI - Athena
ElevenLabs,conv_6901kj8rdgq9e07a8ryz8em305a6,1771968055,18,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_6901kj8rdgq9e07a8ryz8em305a6,,UI - Athena
ElevenLabs,conv_5601kj8r2q23fw1vvdzejem65erw,1771967700,18,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_5601kj8r2q23fw1vvdzejem65erw,,UI - Athena
ElevenLabs,conv_9201kj8vbgpnfsws20ykw5b9n8f4,1771971134,17,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_9201kj8vbgpnfsws20ykw5b9n8f4,,UI - Athena
ElevenLabs,conv_4301kj90j2b5f66t3qts13kxhvck,1771976591,16,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_4301kj90j2b5f66t3qts13kxhvck,,UI - Athena
ElevenLabs,conv_1401kj8sw2aefyks7dcc2p6tyrcb,1771969579,16,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_1401kj8sw2aefyks7dcc2p6tyrcb,,UI - Athena
ElevenLabs,conv_6001kj8y0mm4egx8m8zbad45t8wg,1771973924,14,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_6001kj8y0mm4egx8m8zbad45t8wg,,UI - Athena
ElevenLabs,conv_2201kj8wa86wfhvrf2jdb1cm6anp,1771972144,14,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_2201kj8wa86wfhvrf2jdb1cm6anp,,UI - Athena
ElevenLabs,conv_4401kj8sxgd2f77r22q7wyebs0d7,1771969628,13,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_4401kj8sxgd2f77r22q7wyebs0d7,,UI - Athena
ElevenLabs,conv_9801kj8swzkgfa4vqxh9kje9zm6v,1771969609,13,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_9801kj8swzkgfa4vqxh9kje9zm6v,,MIRA - Orchestrator - v2.1.1 - ACTIVE
ElevenLabs,conv_0801kj8zdbm3e7wb1egb0tv7dfbn,1771975390,12,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_0801kj8zdbm3e7wb1egb0tv7dfbn,,UI - Athena
ElevenLabs,conv_8901kj8w89rbfgmayjtgz9f4j8yr,1771972079,12,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_8901kj8w89rbfgmayjtgz9f4j8yr,,UI - Athena
ElevenLabs,conv_0701kj90y4ygeza95zcfwsm354yv,1771976987,11,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_0701kj90y4ygeza95zcfwsm354yv,,UI - Athena
ElevenLabs,conv_9401kj8zsw05fgbteeh77mys3pz2,1771975798,11,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_9401kj8zsw05fgbteeh77mys3pz2,,MIRA - Orchestrator - v2.1.1 - ACTIVE
ElevenLabs,conv_0801kj8yvqpjemv9p4w0erbdm5p4,1771974814,11,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_0801kj8yvqpjemv9p4w0erbdm5p4,,UI - Athena
ElevenLabs,conv_6701kj8v1smwefmtkf7e14xffmrh,1771970815,11,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_6701kj8v1smwefmtkf7e14xffmrh,,UI - Athena
ElevenLabs,conv_1301kj90d4gherptvy8stdyra7np,1771976430,10,,,failed,https://elevenlabs.io/app/conversational-ai/history/conv_1301kj90d4gherptvy8stdyra7np,,UI - Athena
ElevenLabs,conv_5901kj8y2k4pevhr6x8mn0qmgs6e,1771973990,10,,,done,https://elevenlabs.io/app/conversational-ai/history/conv_5901kj8y2k4pevhr6x8mn0qmgs6e,,UI - Athena
